date,product,category,region,quantity,unit_price,revenue,quarter
2024-01-30,Widget A,Widgets,North,44,188.69,8302.36,Q1
2024-01-30,Gizmo Lite,Gizmos,North,6,80.33,481.98,Q1
2024-01-31,Gizmo Pro,Gizmos,East,49,115.03,5636.47,Q1
2024-02-01,Gadget Y,Gadgets,North,33,24.32,802.56,Q1
2024-02-01,Gizmo Pro,Gizmos,West,32,171.72,5495.04,Q1
2024-02-01,Gadget X,Gadgets,East,18,115.79,2084.22,Q1
2024-02-02,Widget B,Widgets,West,3,118.31,354.93,Q1
2024-02-02,Widget B,Widgets,East,32,137.52,4400.64,Q1
2024-02-03,Gadget X,Gadgets,North,42,176.7,7421.4,Q1
2024-02-03,Widget A,Widgets,West,9,143.47,1291.23,Q1
2024-02-04,Gizmo Pro,Gizmos,East,42,163.78,6878.76,Q1
2024-02-04,Widget B,Widgets,West,25,126.19,3154.75,Q1
2024-02-04,Widget B,Widgets,North,7,105.29,737.03,Q1
2024-02-05,Widget A,Widgets,West,8,143.37,1146.96,Q1
2024-02-05,Gizmo Lite,Gizmos,East,12,178.46,2141.52,Q1
2024-02-05,Gadget Y,Gadgets,East,34,27.86,947.24,Q1
2024-02-05,Gizmo Lite,Gizmos,South,25,39.46,986.5,Q1
2024-02-06,Gizmo Lite,Gizmos,South,22,57.55,1266.1,Q1
2024-02-07,Gizmo Lite,Gizmos,North,43,34.14,1468.02,Q1
2024-02-07,Gizmo Pro,Gizmos,East,44,193.4,8509.6,Q1
2024-02-08,Gizmo Lite,Gizmos,South,45,46.93,2111.85,Q1
2024-02-08,Gadget X,Gadgets,North,40,147.96,5918.4,Q1
2024-02-08,Widget B,Widgets,North,42,71.36,2997.12,Q1
2024-02-08,Gadget X,Gadgets,South,28,151.37,4238.36,Q1
2024-02-09,Widget B,Widgets,West,23,91.38,2101.74,Q1
2024-02-10,Widget A,Widgets,West,1,94.05,94.05,Q1
2024-02-11,Gizmo Lite,Gizmos,North,48,44.74,2147.52,Q1
2024-02-11,Gizmo Pro,Gizmos,East,1,191.42,191.42,Q1
2024-02-12,Gizmo Pro,Gizmos,East,22,148.71,3271.62,Q1
2024-02-12,Gadget Y,Gadgets,North,26,77.63,2018.38,Q1
2024-02-12,Gizmo Lite,Gizmos,North,29,32.05,929.45,Q1
2024-02-12,Widget A,Widgets,West,30,172.54,5176.2,Q1
2024-02-13,Gadget Y,Gadgets,West,16,28.59,457.44,Q1
2024-02-14,Gadget Y,Gadgets,North,33,98.29,3243.57,Q1
2024-02-15,Widget B,Widgets,West,10,190.34,1903.4,Q1
2024-02-15,Widget B,Widgets,East,31,12.91,400.21,Q1
2024-02-15,Widget B,Widgets,North,32,172.73,5527.36,Q1
2024-02-16,Gadget Y,Gadgets,East,16,23.41,374.56,Q1
2024-02-17,Widget A,Widgets,East,28,121.3,3396.4,Q1
2024-02-17,Gadget Y,Gadgets,East,24,138.66,3327.84,Q1
2024-02-18,Widget A,Widgets,East,33,164.13,5416.29,Q1
2024-02-18,Gizmo Pro,Gizmos,North,12,83.36,1000.32,Q1
2024-02-18,Widget B,Widgets,North,43,47.2,2029.6,Q1
2024-02-18,Gadget Y,Gadgets,North,31,81.68,2532.08,Q1
2024-02-19,Widget B,Widgets,South,35,73.95,2588.25,Q1
2024-02-19,Gizmo Pro,Gizmos,South,26,139.51,3627.26,Q1
2024-02-19,Widget B,Widgets,South,41,104.25,4274.25,Q1
2024-02-20,Widget B,Widgets,West,45,187.96,8458.2,Q1
2024-02-21,Widget A,Widgets,West,21,193.84,4070.64,Q1
2024-02-21,Widget B,Widgets,West,37,152.62,5646.94,Q1
2024-02-21,Gadget X,Gadgets,West,49,149.01,7301.49,Q1
2024-02-21,Widget B,Widgets,West,49,157.52,7718.48,Q1
2024-02-22,Gizmo Lite,Gizmos,North,32,173.1,5539.2,Q1
2024-02-22,Gizmo Pro,Gizmos,North,23,153.36,3527.28,Q1
2024-02-22,Gizmo Lite,Gizmos,West,17,111.52,1895.84,Q1
2024-02-23,Widget A,Widgets,East,22,66.55,1464.1,Q1
2024-02-23,Widget A,Widgets,North,36,12.06,434.16,Q1
2024-02-23,Gadget X,Gadgets,West,12,77.43,929.16,Q1
2024-02-23,Gizmo Lite,Gizmos,East,31,190.62,5909.22,Q1
2024-02-24,Gizmo Pro,Gizmos,North,5,65.71,328.55,Q1
2024-02-24,Gadget Y,Gadgets,East,21,152.95,3211.95,Q1
2024-02-25,Widget A,Widgets,South,39,27.33,1065.87,Q1
2024-02-25,Widget B,Widgets,South,39,199.23,7769.97,Q1
2024-02-25,Gizmo Pro,Gizmos,East,35,178.66,6253.1,Q1
2024-02-25,Gadget X,Gadgets,North,18,194.04,3492.72,Q1
2024-02-26,Widget B,Widgets,South,44,174.71,7687.24,Q1
2024-02-26,Gizmo Lite,Gizmos,North,13,52.29,679.77,Q1
2024-02-27,Gadget X,Gadgets,North,2,25.46,50.92,Q1
2024-02-27,Gizmo Lite,Gizmos,North,19,120.45,2288.55,Q1
2024-02-28,Gizmo Lite,Gizmos,North,17,189.98,3229.66,Q1
2024-02-29,Gadget Y,Gadgets,East,36,81.49,2933.64,Q1
2024-03-01,Gizmo Pro,Gizmos,East,44,116.1,5108.4,Q1
2024-03-01,Widget B,Widgets,South,26,72.75,1891.5,Q1
2024-03-01,Gadget X,Gadgets,West,45,12.16,547.2,Q1
2024-03-02,Widget B,Widgets,North,20,32.58,651.6,Q1
2024-03-02,Widget A,Widgets,North,39,151.75,5918.25,Q1
2024-03-03,Gizmo Lite,Gizmos,North,49,25.75,1261.75,Q1
2024-03-03,Gizmo Lite,Gizmos,North,6,162.4,974.4,Q1
2024-03-03,Gizmo Pro,Gizmos,South,47,179.32,8428.04,Q1
2024-03-03,Gizmo Pro,Gizmos,West,11,184.63,2030.93,Q1
2024-03-04,Gadget X,Gadgets,East,20,24.33,486.6,Q1
2024-03-04,Widget A,Widgets,East,49,142.19,6967.31,Q1
2024-03-04,Widget A,Widgets,North,3,181.22,543.66,Q1
2024-03-05,Gadget Y,Gadgets,West,10,190.58,1905.8,Q1
2024-03-05,Gizmo Lite,Gizmos,North,12,30.28,363.36,Q1
2024-03-05,Widget B,Widgets,West,28,132.9,3721.2,Q1
2024-03-06,Gadget Y,Gadgets,North,28,24.77,693.56,Q1
2024-03-06,Gadget Y,Gadgets,North,27,142.65,3851.55,Q1
2024-03-07,Widget A,Widgets,West,20,124.53,2490.6,Q1
2024-03-08,Gizmo Pro,Gizmos,South,46,24.48,1126.08,Q1
2024-03-09,Gadget X,Gadgets,South,5,126.55,632.75,Q1
2024-03-09,Widget B,Widgets,North,30,174.55,5236.5,Q1
2024-03-10,Widget A,Widgets,East,1,101.27,101.27,Q1
2024-03-11,Gadget X,Gadgets,North,21,152.42,3200.82,Q1
2024-03-12,Gadget X,Gadgets,North,27,118.13,3189.51,Q1
2024-03-12,Widget B,Widgets,North,41,88.82,3641.62,Q1
2024-03-13,Gizmo Lite,Gizmos,East,28,164.45,4604.6,Q1
2024-03-14,Gizmo Lite,Gizmos,North,3,115.53,346.59,Q1
2024-03-15,Gizmo Pro,Gizmos,North,10,171.43,1714.3,Q1
2024-03-16,Gizmo Lite,Gizmos,East,9,34.54,310.86,Q1
2024-03-17,Gizmo Pro,Gizmos,North,4,53.44,213.76,Q1
2024-03-18,Widget B,Widgets,East,28,61.05,1709.4,Q1
2024-03-18,Widget B,Widgets,East,34,100.48,3416.32,Q1
2024-03-18,Gadget X,Gadgets,West,12,165.11,1981.32,Q1
2024-03-18,Gizmo Pro,Gizmos,North,30,176.56,5296.8,Q1
2024-03-19,Gizmo Pro,Gizmos,East,21,131.48,2761.08,Q1
2024-03-20,Gizmo Lite,Gizmos,South,34,76.61,2604.74,Q1
2024-03-20,Widget B,Widgets,East,30,115.41,3462.3,Q1
2024-03-20,Widget B,Widgets,East,38,95.67,3635.46,Q1
2024-03-21,Gizmo Lite,Gizmos,North,42,173.85,7301.7,Q1
2024-03-21,Gizmo Pro,Gizmos,North,4,97.28,389.12,Q1
2024-03-21,Widget B,Widgets,West,17,59.07,1004.19,Q1
2024-03-21,Gizmo Pro,Gizmos,South,34,127.95,4350.3,Q1
2024-03-22,Gizmo Lite,Gizmos,East,43,120.13,5165.59,Q1
2024-03-23,Widget A,Widgets,East,23,34.33,789.59,Q1
2024-03-23,Gadget X,Gadgets,West,16,131.77,2108.32,Q1
2024-03-23,Gadget Y,Gadgets,East,25,180.39,4509.75,Q1
2024-03-24,Gizmo Pro,Gizmos,South,32,42.74,1367.68,Q1
2024-03-24,Gadget X,Gadgets,South,19,166.14,3156.66,Q1
2024-03-24,Gadget Y,Gadgets,North,42,43.63,1832.46,Q1
2024-03-25,Widget A,Widgets,South,5,97.55,487.75,Q1
2024-03-25,Gizmo Lite,Gizmos,South,34,34.46,1171.64,Q1
2024-03-26,Gadget X,Gadgets,East,9,27.54,247.86,Q1
2024-03-27,Gizmo Lite,Gizmos,East,47,107.21,5038.87,Q1
2024-03-28,Gizmo Pro,Gizmos,North,17,62.61,1064.37,Q1
2024-03-28,Widget A,Widgets,East,35,45.06,1577.1,Q1
2024-03-28,Gizmo Lite,Gizmos,East,14,127.47,1784.58,Q1
2024-03-29,Widget B,Widgets,East,45,21.84,982.8,Q1
2024-03-29,Gadget X,Gadgets,East,7,140.56,983.92,Q1
2024-03-30,Gadget X,Gadgets,South,47,15.79,742.13,Q1
2024-03-30,Widget B,Widgets,East,38,111.2,4225.6,Q1
2024-03-31,Widget A,Widgets,East,37,44.63,1651.31,Q1
2024-03-31,Widget A,Widgets,South,17,50.18,853.06,Q1
2024-03-31,Gizmo Lite,Gizmos,North,44,54.31,2389.64,Q1
2024-03-31,Gadget Y,Gadgets,East,25,139.03,3475.75,Q1
2024-04-01,Gizmo Pro,Gizmos,East,18,26.51,477.18,Q2
2024-04-02,Widget B,Widgets,North,47,151.63,7126.61,Q2
2024-04-02,Gadget Y,Gadgets,North,19,81.97,1557.43,Q2
2024-04-03,Gadget Y,Gadgets,East,26,125.44,3261.44,Q2
2024-04-03,Gadget X,Gadgets,North,45,72.77,3274.65,Q2
2024-04-04,Gizmo Pro,Gizmos,South,22,52.81,1161.82,Q2
2024-04-05,Gadget Y,Gadgets,South,30,45.45,1363.5,Q2
2024-04-05,Gizmo Lite,Gizmos,North,31,20.57,637.67,Q2
2024-04-05,Gadget X,Gadgets,West,31,87.98,2727.38,Q2
2024-04-06,Gizmo Lite,Gizmos,East,2,119.44,238.88,Q2
2024-04-06,Gadget Y,Gadgets,North,15,165.24,2478.6,Q2
2024-04-06,Gizmo Lite,Gizmos,North,38,137.04,5207.52,Q2
2024-04-06,Widget B,Widgets,South,15,111.66,1674.9,Q2
2024-04-07,Gizmo Pro,Gizmos,South,44,48.96,2154.24,Q2
2024-04-07,Gizmo Lite,Gizmos,North,4,90.83,363.32,Q2
2024-04-07,Gadget Y,Gadgets,North,49,110.67,5422.83,Q2
2024-04-08,Gizmo Lite,Gizmos,East,38,120.44,4576.72,Q2
2024-04-08,Gadget Y,Gadgets,North,13,111.19,1445.47,Q2
2024-04-09,Widget B,Widgets,South,10,114.23,1142.3,Q2
2024-04-09,Gadget Y,Gadgets,South,2,71.25,142.5,Q2
2024-04-10,Widget A,Widgets,North,37,10.52,389.24,Q2
2024-04-10,Gadget X,Gadgets,East,15,99.6,1494.0,Q2
2024-04-10,Gadget X,Gadgets,North,30,30.27,908.1,Q2
2024-04-10,Gizmo Lite,Gizmos,North,44,87.62,3855.28,Q2
2024-04-11,Gadget X,Gadgets,East,9,48.95,440.55,Q2
2024-04-11,Gadget X,Gadgets,South,1,150.81,150.81,Q2
2024-04-11,Gadget Y,Gadgets,North,29,36.56,1060.24,Q2
2024-04-11,Gizmo Pro,Gizmos,East,14,161.91,2266.74,Q2
2024-04-12,Gizmo Pro,Gizmos,South,5,54.78,273.9,Q2
2024-04-13,Gizmo Lite,Gizmos,South,4,70.08,280.32,Q2
2024-04-13,Widget A,Widgets,East,18,165.15,2972.7,Q2
2024-04-14,Gizmo Lite,Gizmos,South,32,97.91,3133.12,Q2
2024-04-14,Widget A,Widgets,North,23,93.36,2147.28,Q2
2024-04-14,Widget A,Widgets,East,17,180.92,3075.64,Q2
2024-04-14,Widget B,Widgets,West,14,22.66,317.24,Q2
2024-04-15,Gadget X,Gadgets,East,6,188.57,1131.42,Q2
2024-04-15,Gadget X,Gadgets,West,8,141.81,1134.48,Q2
2024-04-15,Gizmo Pro,Gizmos,East,33,111.36,3674.88,Q2
2024-04-16,Gadget Y,Gadgets,North,29,38.82,1125.78,Q2
2024-04-16,Gizmo Pro,Gizmos,North,37,157.93,5843.41,Q2
2024-04-16,Gizmo Lite,Gizmos,South,4,118.28,473.12,Q2
2024-04-17,Gadget X,Gadgets,South,10,75.0,750.0,Q2
2024-04-18,Gadget Y,Gadgets,West,45,34.22,1539.9,Q2
2024-04-19,Gizmo Pro,Gizmos,East,8,38.48,307.84,Q2
2024-04-19,Gadget Y,Gadgets,East,12,156.66,1879.92,Q2
2024-04-19,Gadget X,Gadgets,East,36,113.12,4072.32,Q2
2024-04-20,Gizmo Pro,Gizmos,South,20,44.5,890.0,Q2
2024-04-20,Gizmo Lite,Gizmos,East,6,86.16,516.96,Q2
2024-04-20,Widget B,Widgets,South,46,126.84,5834.64,Q2
2024-04-21,Gizmo Lite,Gizmos,East,18,126.18,2271.24,Q2
2024-04-22,Gadget Y,Gadgets,West,43,187.1,8045.3,Q2
2024-04-22,Gadget Y,Gadgets,West,5,185.27,926.35,Q2
2024-04-22,Widget B,Widgets,South,49,119.49,5855.01,Q2
2024-04-22,Widget A,Widgets,North,29,29.81,864.49,Q2
2024-04-23,Gadget X,Gadgets,North,23,33.33,766.59,Q2
2024-04-23,Gizmo Pro,Gizmos,South,26,169.39,4404.14,Q2
2024-04-24,Widget A,Widgets,East,1,175.28,175.28,Q2
2024-04-24,Gadget X,Gadgets,East,40,125.5,5020.0,Q2
2024-04-24,Widget A,Widgets,North,9,49.06,441.54,Q2
2024-04-25,Widget B,Widgets,West,41,31.71,1300.11,Q2
2024-04-26,Widget B,Widgets,East,11,185.36,2038.96,Q2
2024-04-27,Gadget X,Gadgets,West,34,184.51,6273.34,Q2
2024-04-27,Gadget X,Gadgets,South,44,183.42,8070.48,Q2
2024-04-28,Widget A,Widgets,North,7,41.45,290.15,Q2
2024-04-28,Widget A,Widgets,East,49,158.29,7756.21,Q2
2024-04-28,Gizmo Lite,Gizmos,North,26,12.49,324.74,Q2
2024-04-28,Widget A,Widgets,North,7,195.35,1367.45,Q2
2024-04-29,Gadget Y,Gadgets,North,22,26.22,576.84,Q2
2024-04-30,Widget A,Widgets,North,7,123.12,861.84,Q2
2024-04-30,Gizmo Lite,Gizmos,West,23,91.09,2095.07,Q2
2024-04-30,Gadget X,Gadgets,North,32,98.96,3166.72,Q2
2024-04-30,Gizmo Pro,Gizmos,West,29,99.69,2891.01,Q2
2024-05-01,Widget B,Widgets,East,1,157.35,157.35,Q2
2024-05-01,Widget B,Widgets,North,2,111.55,223.1,Q2
2024-05-01,Widget B,Widgets,East,30,116.33,3489.9,Q2
2024-05-02,Widget A,Widgets,East,8,173.74,1389.92,Q2
2024-05-02,Gadget X,Gadgets,East,32,61.74,1975.68,Q2
2024-05-02,Gizmo Lite,Gizmos,East,34,87.66,2980.44,Q2
2024-05-02,Gadget Y,Gadgets,North,32,146.03,4672.96,Q2
2024-05-03,Widget A,Widgets,East,3,53.9,161.7,Q2
2024-05-03,Gizmo Pro,Gizmos,East,8,29.78,238.24,Q2
2024-05-03,Gizmo Pro,Gizmos,West,3,178.62,535.86,Q2
2024-05-03,Widget B,Widgets,South,35,56.2,1967.0,Q2
2024-05-04,Gizmo Lite,Gizmos,West,43,192.9,8294.7,Q2
2024-05-04,Gizmo Pro,Gizmos,East,21,87.21,1831.41,Q2
2024-05-04,Widget B,Widgets,North,7,130.32,912.24,Q2
2024-05-04,Gizmo Pro,Gizmos,East,19,33.33,633.27,Q2
2024-05-05,Gizmo Pro,Gizmos,East,18,179.61,3232.98,Q2
2024-05-05,Gizmo Pro,Gizmos,East,20,73.81,1476.2,Q2
2024-05-05,Widget B,Widgets,West,3,122.16,366.48,Q2
2024-05-05,Gadget Y,Gadgets,West,5,75.59,377.95,Q2
2024-05-06,Widget A,Widgets,East,34,173.6,5902.4,Q2
2024-05-06,Gadget Y,Gadgets,North,22,158.15,3479.3,Q2
2024-05-07,Gizmo Lite,Gizmos,West,46,99.5,4577.0,Q2
2024-05-07,Widget A,Widgets,West,17,61.05,1037.85,Q2
2024-05-08,Gizmo Pro,Gizmos,South,25,59.0,1475.0,Q2
2024-05-08,Gizmo Lite,Gizmos,South,43,90.12,3875.16,Q2
2024-05-09,Gizmo Pro,Gizmos,North,45,141.33,6359.85,Q2
2024-05-09,Gadget X,Gadgets,North,6,183.72,1102.32,Q2
2024-05-10,Gadget Y,Gadgets,North,41,62.07,2544.87,Q2
2024-05-10,Gizmo Pro,Gizmos,West,25,104.52,2613.0,Q2
2024-05-11,Gizmo Pro,Gizmos,East,42,36.6,1537.2,Q2
2024-05-11,Widget A,Widgets,West,31,176.04,5457.24,Q2
2024-05-11,Widget B,Widgets,North,12,130.29,1563.48,Q2
2024-05-12,Widget B,Widgets,North,45,169.24,7615.8,Q2
2024-05-12,Gadget Y,Gadgets,West,46,18.92,870.32,Q2
2024-05-12,Gizmo Lite,Gizmos,North,43,45.03,1936.29,Q2
2024-05-13,Gadget X,Gadgets,East,26,22.97,597.22,Q2
2024-05-13,Gadget X,Gadgets,East,36,146.62,5278.32,Q2
2024-05-13,Gadget X,Gadgets,West,34,85.36,2902.24,Q2
2024-05-13,Gizmo Lite,Gizmos,North,22,149.19,3282.18,Q2
2024-05-14,Gadget Y,Gadgets,East,47,59.83,2812.01,Q2
2024-05-14,Gadget Y,Gadgets,East,43,170.82,7345.26,Q2
2024-05-15,Gadget X,Gadgets,South,34,128.43,4366.62,Q2
2024-05-16,Widget A,Widgets,North,9,76.79,691.11,Q2
2024-05-17,Gizmo Pro,Gizmos,North,43,123.67,5317.81,Q2
2024-05-18,Gadget X,Gadgets,West,3,24.78,74.34,Q2
2024-05-18,Gadget Y,Gadgets,West,30,11.0,330.0,Q2
2024-05-18,Gadget X,Gadgets,East,37,27.4,1013.8,Q2
2024-05-19,Gizmo Pro,Gizmos,East,17,190.55,3239.35,Q2
2024-05-20,Gadget Y,Gadgets,West,16,175.86,2813.76,Q2
2024-05-21,Gizmo Pro,Gizmos,South,17,135.17,2297.89,Q2
2024-05-21,Gizmo Lite,Gizmos,North,8,57.44,459.52,Q2
2024-05-21,Gadget Y,Gadgets,North,15,141.7,2125.5,Q2
2024-05-22,Widget B,Widgets,West,47,18.39,864.33,Q2
2024-05-23,Widget A,Widgets,South,23,115.6,2658.8,Q2
2024-05-23,Widget B,Widgets,North,7,16.45,115.15,Q2
2024-05-23,Widget A,Widgets,East,48,31.9,1531.2,Q2
2024-05-24,Gizmo Pro,Gizmos,West,18,151.56,2728.08,Q2
2024-05-24,Gadget X,Gadgets,East,18,109.26,1966.68,Q2
2024-05-24,Widget A,Widgets,East,14,123.29,1726.06,Q2
2024-05-25,Gadget Y,Gadgets,North,45,24.62,1107.9,Q2
2024-05-25,Gadget X,Gadgets,East,40,93.8,3752.0,Q2
2024-05-25,Gadget Y,Gadgets,North,39,69.91,2726.49,Q2
2024-05-25,Gadget Y,Gadgets,North,29,135.71,3935.59,Q2
2024-05-26,Widget A,Widgets,West,16,91.1,1457.6,Q2
2024-05-26,Gizmo Lite,Gizmos,South,2,14.64,29.28,Q2
2024-05-27,Gizmo Lite,Gizmos,West,13,110.5,1436.5,Q2
2024-05-27,Gadget X,Gadgets,North,39,11.8,460.2,Q2
2024-05-28,Widget A,Widgets,West,29,17.14,497.06,Q2
2024-05-28,Widget A,Widgets,East,16,176.0,2816.0,Q2
2024-05-29,Widget B,Widgets,East,30,89.38,2681.4,Q2
2024-05-30,Gizmo Pro,Gizmos,East,1,55.37,55.37,Q2
2024-05-30,Gizmo Pro,Gizmos,South,14,66.43,930.02,Q2
2024-05-30,Gadget Y,Gadgets,North,18,54.39,979.02,Q2
2024-05-30,Widget A,Widgets,East,46,18.57,854.22,Q2
2024-05-31,Widget A,Widgets,East,24,33.64,807.36,Q2
2024-06-01,Gizmo Pro,Gizmos,South,37,26.99,998.63,Q2
2024-06-01,Gizmo Lite,Gizmos,North,24,98.81,2371.44,Q2
2024-06-02,Widget A,Widgets,East,7,198.32,1388.24,Q2
2024-06-02,Gadget Y,Gadgets,North,29,133.43,3869.47,Q2
2024-06-03,Gizmo Pro,Gizmos,South,46,53.83,2476.18,Q2
2024-06-03,Widget A,Widgets,South,26,16.98,441.48,Q2
2024-06-03,Gadget X,Gadgets,South,6,162.15,972.9,Q2
2024-06-04,Widget A,Widgets,South,9,186.27,1676.43,Q2
2024-06-04,Widget A,Widgets,South,42,107.9,4531.8,Q2
2024-06-04,Gizmo Lite,Gizmos,West,17,39.24,667.08,Q2
2024-06-05,Gizmo Lite,Gizmos,East,13,52.53,682.89,Q2
2024-06-05,Widget A,Widgets,North,9,180.04,1620.36,Q2
2024-06-05,Widget B,Widgets,East,11,176.72,1943.92,Q2
2024-06-06,Gadget Y,Gadgets,North,29,178.86,5186.94,Q2
2024-06-06,Widget B,Widgets,East,12,16.73,200.76,Q2
2024-06-06,Widget A,Widgets,South,5,149.69,748.45,Q2
2024-06-07,Gadget Y,Gadgets,East,15,10.97,164.55,Q2
2024-06-07,Gizmo Pro,Gizmos,South,48,104.22,5002.56,Q2
2024-06-07,Gizmo Pro,Gizmos,North,48,139.82,6711.36,Q2
2024-06-07,Gizmo Pro,Gizmos,North,17,21.69,368.73,Q2
2024-06-08,Gizmo Lite,Gizmos,East,29,182.24,5284.96,Q2
2024-06-08,Widget B,Widgets,North,40,117.49,4699.6,Q2
2024-06-08,Widget A,Widgets,West,6,109.04,654.24,Q2
2024-06-08,Gadget Y,Gadgets,West,33,39.89,1316.37,Q2
